Node1,Node2,Weight
ACTG1,ACTL6B,0.914
ACTG1,CDH1,0.457
ACTG1,CTNNA1,0.953
ACTG1,ARID1A,0.841
ACTG1,ARID2,0.816
ACTG1,SMARCA4,0.884
ACTG1,AFDN,0.915
ACTG1,FLNA,0.729
ACTG1,AKT2,0.452
ACTG1,SMARCD1,0.873
ACTG1,PBRM1,0.854
ACTG1,RHOA,0.944
ACTG1,AKT1,0.573
ACTG1,MYC,0.486
ACTG1,ARID1B,0.849
ACTL6B,NTRK3,0.415
ACTL6B,RUNX1,0.505
ACTL6B,CBFB,0.517
ACTL6B,CCND1,0.568
ACTL6B,DNMT3A,0.617
ACTL6B,H3C12,0.668
ACTL6B,RB1,0.747
ACTL6B,PBRM1,0.958
ACTL6B,ARID1B,0.964
ACTL6B,ARID2,0.968
ACTL6B,ARID1A,0.978
ACTL6B,SMARCA4,0.98
ACTL6B,SMARCD1,0.99
ACVR1B,KRAS,0.401
ACVR1B,PDGFRA,0.495
ACVR1B,SMAD3,0.936
ACVR1B,SMAD4,0.957
ACVR1B,TGFBR2,0.74
ACVR1B,BRCA2,0.438
ACVR1B,ALK,0.932
ACVR1B,CTNNB1,0.467
AFDN,KRAS,0.945
AFDN,CDH1,0.867
AFDN,EGFR,0.625
AFDN,KIT,0.402
AFDN,GRIA2,0.41
AFDN,CTNNA1,0.984
AFDN,USP9X,0.736
AFDN,MEN1,0.652
AFDN,RHOA,0.509
AFDN,EPHA7,0.716
AFDN,CTNNB1,0.776
AFDN,KMT2A,0.865
AFDN,NRAS,0.975
AFDN,HRAS,0.998
AFF2,CBL,0.571
AFF2,ATRX,0.456
AFF2,KMT2A,0.564
AGTR2,H3C12,0.48
AKT1,XBP1,0.739
AKT1,AURKA,0.624
AKT1,CCND1,0.923
AKT1,CDKN1B,0.996
AKT1,MLH1,0.495
AKT1,MSH2,0.627
AKT1,FOXA1,0.683
AKT1,RARA,0.765
AKT1,KRAS,0.904
AKT1,NOTCH2,0.589
AKT1,PDGFRA,0.486
AKT1,APC,0.472
AKT1,MDM2,0.999
AKT1,CDH1,0.903
AKT1,PIK3C3,0.78
AKT1,KMT2C,0.403
AKT1,AXIN1,0.912
AKT1,CREBBP,0.854
AKT1,CCNE1,0.667
AKT1,EP300,0.954
AKT1,NOTCH3,0.57
AKT1,PIK3CA,0.998
AKT1,CBL,0.775
AKT1,DNMT3A,0.518
AKT1,CDK6,0.443
AKT1,PMS2,0.465
AKT1,DAXX,0.441
AKT1,ERBB3,0.854
AKT1,RB1,0.586
AKT1,NCOR1,0.633
AKT1,TP53,0.994
AKT1,ERBB2,0.552
AKT1,EGFR,0.792
AKT1,CDKN2B,0.58
AKT1,ATM,0.742
AKT1,KIT,0.818
AKT1,PREX2,0.444
AKT1,TSC1,0.985
AKT1,RUNX1,0.549
AKT1,KMT2D,0.544
AKT1,RPTOR,0.996
AKT1,MET,0.408
AKT1,ARID1A,0.591
AKT1,STK11,0.748
AKT1,DNMT3B,0.652
AKT1,TBK1,0.873
AKT1,GRIN2A,0.659
AKT1,SMAD3,0.996
AKT1,MEN1,0.681
AKT1,ZFP36L1,0.849
AKT1,FOXO3,0.998
AKT1,MYB,0.439
AKT1,SMAD4,0.914
AKT1,ERBB4,0.583
AKT1,ATR,0.423
AKT1,SMARCA4,0.497
AKT1,NF2,0.842
AKT1,GATA2,0.587
AKT1,RET,0.415
AKT1,NF1,0.803
AKT1,CASP8,0.79
AKT1,TGFBR2,0.57
AKT1,H3C12,0.79
AKT1,NEK2,0.526
AKT1,CTSS,0.483
AKT1,MCL1,0.867
AKT1,PRDM1,0.42
AKT1,NRAS,0.815
AKT1,FLNA,0.84
AKT1,GNAS,0.524
AKT1,PTEN,0.988
AKT1,NCOA3,0.495
AKT1,IRS4,0.5
AKT1,CCND3,0.761
AKT1,ATRX,0.577
AKT1,ASXL1,0.667
AKT1,PIK3CD,0.976
AKT1,KDM6A,0.429
AKT1,WT1,0.656
AKT1,GATA3,0.545
AKT1,BRCA2,0.605
AKT1,CHEK2,0.554
AKT1,AKT2,0.991
AKT1,MAP3K1,0.56
AKT1,SETD2,0.423
AKT1,MITF,0.552
AKT1,FGFR1,0.552
AKT1,RHOA,0.904
AKT1,ESR1,0.913
AKT1,HRAS,0.896
AKT1,MAP2K4,0.965
AKT1,MST1,0.405
AKT1,CBFB,0.503
AKT1,BAP1,0.508
AKT1,CDKN2A,0.866
AKT1,BRCA1,0.993
AKT1,BRAF,0.783
AKT1,PIK3R1,0.995
AKT1,FBXO32,0.703
AKT1,NTRK1,0.609
AKT1,DICER1,0.6
AKT1,TET2,0.412
AKT1,FAS,0.532
AKT1,ITCH,0.553
AKT1,IGF1R,0.619
AKT1,FBXW7,0.672
AKT1,ARHGAP35,0.687
AKT1,PTPN11,0.762
AKT1,NOTCH1,0.887
AKT1,MYC,0.928
AKT1,AKT3,0.958
AKT1,CTNNB1,0.979
AKT1,PIK3CB,0.992
AKT2,CCND1,0.717
AKT2,CDKN1B,0.956
AKT2,FOXA1,0.43
AKT2,KRAS,0.646
AKT2,MDM2,0.947
AKT2,CDH1,0.461
AKT2,CCNE1,0.406
AKT2,PIK3CA,0.984
AKT2,ERBB3,0.467
AKT2,TP53,0.973
AKT2,EGFR,0.612
AKT2,ATM,0.454
AKT2,KIT,0.413
AKT2,TSC1,0.95
AKT2,RPTOR,0.976
AKT2,ARID1A,0.452
AKT2,DNMT3B,0.483
AKT2,FOXO3,0.98
AKT2,SMAD4,0.546
AKT2,NF1,0.483
AKT2,NRAS,0.499
AKT2,PTEN,0.826
AKT2,PIK3CD,0.962
AKT2,IGF1R,0.401
AKT2,CBFB,0.405
AKT2,RHOA,0.409
AKT2,NOTCH1,0.456
AKT2,KMT2A,0.462
AKT2,CDKN2A,0.465
AKT2,HRAS,0.501
AKT2,ESR1,0.616
AKT2,MYC,0.694
AKT2,CTNNB1,0.721
AKT2,MAP2K4,0.918
AKT2,BRCA1,0.938
AKT2,AKT3,0.965
AKT2,PIK3R1,0.979
AKT2,PIK3CB,0.983
AKT3,CCND1,0.557
AKT3,CDKN1B,0.96
AKT3,KRAS,0.566
AKT3,MDM2,0.966
AKT3,CDH1,0.409
AKT3,PIK3CA,0.984
AKT3,ERBB3,0.48
AKT3,TP53,0.953
AKT3,ATM,0.424
AKT3,KIT,0.42
AKT3,TSC1,0.952
AKT3,RPTOR,0.959
AKT3,FOXO3,0.966
AKT3,SMAD4,0.493
AKT3,NF1,0.538
AKT3,NRAS,0.564
AKT3,PTEN,0.825
AKT3,PIK3CD,0.95
AKT3,ESR1,0.429
AKT3,HRAS,0.47
AKT3,MAP2K4,0.92
AKT3,CBFB,0.416
AKT3,CDKN2A,0.451
AKT3,BRCA1,0.934
AKT3,PIK3R1,0.977
AKT3,FBXW7,0.415
AKT3,MYC,0.479
AKT3,CTNNB1,0.518
AKT3,NOTCH1,0.551
AKT3,PIK3CB,0.964
ALK,CCND1,0.549
ALK,MLH1,0.552
ALK,MSH2,0.437
ALK,RARA,0.424
ALK,KRAS,0.989
ALK,NOTCH2,0.617
ALK,MDM2,0.558
ALK,CDH1,0.449
ALK,PIK3CA,0.979
ALK,TP63,0.461
ALK,PMS2,0.417
ALK,TP53,0.772
ALK,ERBB2,0.775
ALK,EGFR,0.505
ALK,ATM,0.577
ALK,KIT,0.558
ALK,ARID1A,0.572
ALK,STK11,0.718
ALK,SMAD3,0.452
ALK,SMAD4,0.67
ALK,SMARCA4,0.736
ALK,NF2,0.436
ALK,RET,0.686
ALK,NF1,0.685
ALK,TGFBR2,0.947
ALK,NTRK3,0.525
ALK,ROS1,0.449
ALK,MCL1,0.412
ALK,NRAS,0.986
ALK,GNAS,0.604
ALK,PTEN,0.722
ALK,ATRX,0.547
ALK,PIK3CD,0.927
ALK,WT1,0.439
ALK,GATA3,0.415
ALK,BRCA2,0.552
ALK,PTPRD,0.527
ALK,SETD2,0.402
ALK,BRAF,0.405
ALK,ARID1B,0.427
ALK,ESR1,0.525
ALK,BRCA1,0.544
ALK,KMT2A,0.572
ALK,ETV6,0.599
ALK,NOTCH1,0.6
ALK,FBXW7,0.607
ALK,CTNNB1,0.625
ALK,CDKN2A,0.664
ALK,PTPN11,0.79
ALK,MYC,0.896
ALK,PIK3CB,0.935
ALK,HRAS,0.966
ALK,PIK3R1,0.973
APC,CCND1,0.595
APC,MLH1,0.439
APC,KRAS,0.611
APC,EGFR,0.418
APC,BRAF,0.442
APC,PTEN,0.478
APC,PIK3CA,0.489
APC,MEN1,0.55
APC,KMT2D,0.584
APC,BUB1B,0.594
APC,TP53,0.61
APC,MYC,0.613
APC,SMAD4,0.615
APC,TBL1XR1,0.903
APC,CDH1,0.92
APC,CTNNA1,0.975
APC,AXIN1,0.999
APC,CTNNB1,0.999
ARHGAP35,KRAS,0.628
ARHGAP35,ERBB2,0.561
ARHGAP35,MET,0.614
ARHGAP35,ARID2,0.434
ARHGAP35,GATA2,0.601
ARHGAP35,NRAS,0.592
ARHGAP35,FLNA,0.625
ARHGAP35,RHOA,0.998
ARHGAP35,HRAS,0.607
ARHGAP35,ARID1B,0.41
ARID1A,STAG2,0.556
ARID1A,CCND1,0.752
ARID1A,MLH1,0.653
ARID1A,MSH2,0.974
ARID1A,RARA,0.43
ARID1A,KRAS,0.873
ARID1A,NOTCH2,0.45
ARID1A,MDM2,0.481
ARID1A,PALB2,0.513
ARID1A,CDH1,0.447
ARID1A,KMT2C,0.823
ARID1A,AXIN1,0.529
ARID1A,CREBBP,0.849
ARID1A,CCNE1,0.62
ARID1A,EP300,0.855
ARID1A,PIK3CA,0.913
ARID1A,DNMT3A,0.72
ARID1A,CDK6,0.422
ARID1A,PMS2,0.587
ARID1A,ERBB3,0.507
ARID1A,RB1,0.786
ARID1A,NCOR1,0.664
ARID1A,TP53,0.961
ARID1A,ERBB2,0.667
ARID1A,EGFR,0.599
ARID1A,CDKN2B,0.434
ARID1A,ATM,0.661
ARID1A,KIT,0.418
ARID1A,RUNX1,0.673
ARID1A,KMT2D,0.813
ARID1A,MAP2K4,0.403
ARID1A,RHOA,0.404
ARID1A,ZNF217,0.415
ARID1A,MAP3K1,0.42
ARID1A,PCLO,0.426
ARID1A,BAP1,0.427
ARID1A,CHEK2,0.433
ARID1A,RET,0.445
ARID1A,GATA3,0.448
ARID1A,MEN1,0.451
ARID1A,NF2,0.455
ARID1A,WT1,0.457
ARID1A,NCOA3,0.469
ARID1A,TET2,0.47
ARID1A,SMAD3,0.471
ARID1A,TGFBR2,0.475
ARID1A,FGFR1,0.484
ARID1A,HRAS,0.494
ARID1A,SPEN,0.507
ARID1A,SYNE1,0.509
ARID1A,ROS1,0.515
ARID1A,NCOA2,0.516
ARID1A,NOTCH1,0.52
ARID1A,CBFB,0.525
ARID1A,MED12,0.527
ARID1A,KMT2A,0.559
ARID1A,GNAS,0.571
ARID1A,STK11,0.573
ARID1A,PIK3R1,0.582
ARID1A,FGFR2,0.592
ARID1A,CHD8,0.593
ARID1A,NRAS,0.606
ARID1A,ESR1,0.628
ARID1A,MYC,0.641
ARID1A,FBXW7,0.643
ARID1A,H3C12,0.644
ARID1A,CTCF,0.646
ARID1A,NF1,0.65
ARID1A,ASXL1,0.651
ARID1A,BRCA2,0.663
ARID1A,KDM6A,0.675
ARID1A,SMAD4,0.676
ARID1A,CTNNB1,0.684
ARID1A,SETD2,0.695
ARID1A,BRAF,0.702
ARID1A,CDKN2A,0.72
ARID1A,PTEN,0.743
ARID1A,ATRX,0.782
ARID1A,BRCA1,0.801
ARID1A,ARID2,0.998
ARID1A,ARID1B,0.999
ARID1A,SMARCD1,0.999
ARID1A,SMARCA4,0.999
ARID1A,PBRM1,0.999
ARID1B,CCND1,0.643
ARID1B,KRAS,0.565
ARID1B,KMT2C,0.757
ARID1B,CREBBP,0.585
ARID1B,EP300,0.6
ARID1B,PIK3CA,0.53
ARID1B,DNMT3A,0.68
ARID1B,RB1,0.733
ARID1B,NCOR1,0.518
ARID1B,TP53,0.534
ARID1B,ATM,0.483
ARID1B,RUNX1,0.627
ARID1B,KMT2D,0.602
ARID1B,ARID2,0.997
ARID1B,SMARCA4,0.999
ARID1B,NF1,0.567
ARID1B,H3C12,0.559
ARID1B,NRAS,0.436
ARID1B,PTEN,0.51
ARID1B,ATRX,0.751
ARID1B,MED12,0.58
ARID1B,KDM6A,0.459
ARID1B,BRCA2,0.416
ARID1B,SMARCD1,0.998
ARID1B,PBRM1,0.998
ARID1B,SETD2,0.529
ARID1B,TBL1XR1,0.408
ARID1B,CBFB,0.504
ARID1B,CDKN2A,0.447
ARID1B,BRAF,0.432
ARID1B,KMT2A,0.535
ARID1B,MYC,0.445
ARID1B,CTNNB1,0.441
ARID1B,CTCF,0.484
ARID1B,CHD8,0.684
ARID2,STAG2,0.506
ARID2,CCND1,0.684
ARID2,KRAS,0.552
ARID2,KMT2C,0.671
ARID2,AXIN1,0.549
ARID2,CREBBP,0.436
ARID2,CCNE1,0.539
ARID2,EP300,0.44
ARID2,PIK3CA,0.562
ARID2,DNMT3A,0.673
ARID2,RB1,0.763
ARID2,TP53,0.608
ARID2,ATM,0.493
ARID2,RUNX1,0.571
ARID2,KMT2D,0.608
ARID2,CASZ1,0.403
ARID2,FBXW7,0.41
ARID2,HRAS,0.41
ARID2,TET2,0.451
ARID2,PIK3R1,0.472
ARID2,KMT2A,0.472
ARID2,SMAD4,0.5
ARID2,CBFB,0.507
ARID2,PTEN,0.51
ARID2,CTNNB1,0.529
ARID2,KDM6A,0.547
ARID2,NRAS,0.551
ARID2,BRAF,0.574
ARID2,CDKN2A,0.577
ARID2,SETD2,0.608
ARID2,NF1,0.654
ARID2,ATRX,0.72
ARID2,H3C12,0.914
ARID2,PBRM1,0.999
ARID2,SMARCA4,0.999
ARID2,SMARCD1,0.999
ASXL1,STAG2,0.771
ASXL1,RARA,0.605
ASXL1,KRAS,0.691
ASXL1,PDGFRA,0.422
ASXL1,KMT2C,0.626
ASXL1,CREBBP,0.487
ASXL1,EP300,0.404
ASXL1,DNMT3A,0.939
ASXL1,TP53,0.721
ASXL1,ATM,0.427
ASXL1,KIT,0.669
ASXL1,RUNX1,0.875
ASXL1,KMT2D,0.497
ASXL1,DNMT3B,0.689
ASXL1,PHF6,0.755
ASXL1,SF3B1,0.473
ASXL1,GATA2,0.694
ASXL1,NF1,0.607
ASXL1,H3C12,0.418
ASXL1,CUX1,0.513
ASXL1,NRAS,0.798
ASXL1,GNAS,0.516
ASXL1,ATRX,0.432
ASXL1,MED12,0.401
ASXL1,FBXW7,0.402
ASXL1,MYC,0.418
ASXL1,HRAS,0.434
ASXL1,NOTCH1,0.459
ASXL1,CDKN2A,0.465
ASXL1,BRCA2,0.49
ASXL1,BRAF,0.516
ASXL1,SETD2,0.564
ASXL1,BRCA1,0.584
ASXL1,KMT2A,0.649
ASXL1,PTPN11,0.702
ASXL1,WT1,0.715
ASXL1,KDM6A,0.828
ASXL1,ETV6,0.833
ASXL1,TET2,0.975
ASXL1,BAP1,0.999
ATAD2,AURKA,0.698
ATAD2,CCND1,0.502
ATAD2,MSH2,0.419
ATAD2,CCNE1,0.534
ATAD2,SMARCA4,0.421
ATAD2,NEK2,0.517
ATAD2,BUB1B,0.519
ATAD2,BRCA1,0.603
ATAD2,MYC,0.698
ATAD2,NCOA3,0.763
ATAD2,ESR1,0.977
ATM,AURKA,0.522
ATM,STAG2,0.436
ATM,CCND1,0.692
ATM,CDKN1B,0.713
ATM,MLH1,0.997
ATM,MSH2,0.999
ATM,KRAS,0.718
ATM,NOTCH2,0.43
ATM,PDGFRA,0.493
ATM,MDM2,0.995
ATM,BRIP1,0.933
ATM,PALB2,0.945
ATM,CDH1,0.478
ATM,KMT2C,0.576
ATM,CREBBP,0.497
ATM,CCNE1,0.537
ATM,EP300,0.904
ATM,PIK3CA,0.446
ATM,CBL,0.423
ATM,DNMT3A,0.478
ATM,CDK6,0.619
ATM,PMS2,0.886
ATM,DAXX,0.813
ATM,ERBB3,0.467
ATM,RB1,0.449
ATM,NCOR1,0.427
ATM,TP53,0.999
ATM,ERBB2,0.748
ATM,EGFR,0.681
ATM,CDKN2B,0.518
ATM,SMAD3,0.4
ATM,NF2,0.401
ATM,TBK1,0.402
ATM,GATA2,0.409
ATM,WT1,0.409
ATM,NEK2,0.411
ATM,DNMT3B,0.413
ATM,ROS1,0.424
ATM,ZMYM3,0.426
ATM,MAP2K4,0.428
ATM,GATA3,0.44
ATM,RPTOR,0.447
ATM,IGF1R,0.454
ATM,CCND3,0.478
ATM,DICER1,0.483
ATM,PTPN11,0.486
ATM,RUNX1,0.487
ATM,MAP3K1,0.499
ATM,KMT2D,0.511
ATM,FGFR1,0.512
ATM,TET2,0.512
ATM,ERBB4,0.526
ATM,BUB1B,0.527
ATM,KIT,0.546
ATM,PBRM1,0.548
ATM,GNAS,0.571
ATM,RET,0.575
ATM,MCL1,0.576
ATM,HRAS,0.6
ATM,ESR1,0.601
ATM,PIK3R1,0.609
ATM,BAP1,0.618
ATM,CTNNB1,0.62
ATM,TGFBR2,0.631
ATM,NRAS,0.632
ATM,H2BC5,0.641
ATM,SETD2,0.643
ATM,KMT2A,0.644
ATM,SMAD4,0.654
ATM,MEN1,0.667
ATM,FGFR2,0.705
ATM,KDM6A,0.712
ATM,SPOP,0.722
ATM,NOTCH1,0.723
ATM,NF1,0.732
ATM,FBXW7,0.756
ATM,H3C12,0.766
ATM,BRAF,0.778
ATM,SMARCA4,0.786
ATM,FOXO3,0.826
ATM,CDKN2A,0.847
ATM,MYC,0.871
ATM,STK11,0.89
ATM,ATRX,0.897
ATM,PTEN,0.897
ATM,CASP8,0.961
ATM,ERCC4,0.965
ATM,BRCA2,0.995
ATM,BRCA1,0.999
ATM,CHEK2,0.999
ATM,ATR,0.999
ATR,STAG2,0.567
ATR,MLH1,0.571
ATR,MSH2,0.91
ATR,CCNI,0.426
ATR,MDM2,0.461
ATR,BRIP1,0.775
ATR,PALB2,0.593
ATR,EP300,0.522
ATR,CDK6,0.613
ATR,PMS2,0.609
ATR,TP53,0.996
ATR,H2BC5,0.606
ATR,ERCC4,0.745
ATR,MYC,0.448
ATR,H3C12,0.532
ATR,CDKN2A,0.537
ATR,ATRX,0.633
ATR,BRCA2,0.831
ATR,BRCA1,0.996
ATR,CHEK2,0.998
ATRX,AURKA,0.509
ATRX,STAG2,0.73
ATRX,MLH1,0.493
ATRX,MSH2,0.535
ATRX,KRAS,0.543
ATRX,PDGFRA,0.593
ATRX,MDM2,0.53
ATRX,BRIP1,0.498
ATRX,PALB2,0.621
ATRX,KMT2C,0.743
ATRX,CREBBP,0.629
ATRX,EP300,0.459
ATRX,PIK3CA,0.641
ATRX,DNMT3A,0.747
ATRX,CDK6,0.425
ATRX,PMS2,0.479
ATRX,DAXX,0.999
ATRX,NCOR1,0.485
ATRX,TP53,0.981
ATRX,EGFR,0.605
ATRX,CDKN2B,0.466
ATRX,BUB1B,0.423
ATRX,H2BC5,0.614
ATRX,KMT2D,0.481
ATRX,ERCC4,0.463
ATRX,USP9X,0.511
ATRX,DNMT3B,0.422
ATRX,PHF6,0.576
ATRX,SF3B1,0.4
ATRX,MEN1,0.861
ATRX,SMARCA4,0.667
ATRX,NF2,0.424
ATRX,RET,0.428
ATRX,NF1,0.753
ATRX,H3C12,0.995
ATRX,NRAS,0.502
ATRX,GNAS,0.439
ATRX,PTEN,0.779
ATRX,CTNNB1,0.404
ATRX,SMARCD1,0.407
ATRX,WT1,0.418
ATRX,PTPN11,0.426
ATRX,HRAS,0.459
ATRX,FGFR1,0.46
ATRX,MED12,0.473
ATRX,NOTCH1,0.481
ATRX,PIK3R1,0.485
ATRX,KMT2A,0.53
ATRX,TET2,0.54
ATRX,CTCF,0.625
ATRX,KDM6A,0.637
ATRX,CDKN2A,0.647
ATRX,BRAF,0.65
ATRX,MYC,0.675
ATRX,SETD2,0.762
ATRX,PBRM1,0.772
ATRX,CHEK2,0.788
ATRX,BRCA1,0.858
ATRX,BRCA2,0.891
AURKA,FLNA,0.414
AURKA,DNMT3B,0.43
AURKA,RET,0.435
AURKA,NTRK3,0.439
AURKA,ZNF217,0.442
AURKA,NRAS,0.446
AURKA,SPOP,0.456
AURKA,SETD2,0.457
AURKA,KIT,0.468
AURKA,EGFR,0.481
AURKA,NF1,0.488
AURKA,DICER1,0.494
AURKA,PIK3CA,0.505
AURKA,KRAS,0.518
AURKA,DNMT3A,0.531
AURKA,CDK6,0.565
AURKA,BRCA2,0.581
AURKA,MCL1,0.598
AURKA,CDH1,0.616
AURKA,CCND1,0.626
AURKA,MDM2,0.643
AURKA,H3C12,0.644
AURKA,EP300,0.652
AURKA,CCNE1,0.675
AURKA,PTEN,0.711
AURKA,CDKN2A,0.723
AURKA,CTNNB1,0.732
AURKA,CDKN1B,0.74
AURKA,HRAS,0.744
AURKA,ESR1,0.769
AURKA,NEK2,0.829
AURKA,FBXW7,0.893
AURKA,MYC,0.914
AURKA,BUB1B,0.924
AURKA,BRCA1,0.942
AURKA,TP53,0.998
AXIN1,CCND1,0.779
AXIN1,KRAS,0.482
AXIN1,CDH1,0.771
AXIN1,CBFB,0.401
AXIN1,PIK3CA,0.411
AXIN1,FOXO3,0.414
AXIN1,EP300,0.416
AXIN1,MET,0.43
AXIN1,TGFBR2,0.434
AXIN1,CCNE1,0.437
AXIN1,ERBB2,0.456
AXIN1,CREBBP,0.461
AXIN1,BRAF,0.463
AXIN1,CDKN2A,0.487
AXIN1,MCL1,0.51
AXIN1,FBXW7,0.511
AXIN1,BRCA1,0.535
AXIN1,PTEN,0.538
AXIN1,TNFAIP3,0.556
AXIN1,RUNX1,0.573
AXIN1,SMAD4,0.581
AXIN1,GNAS,0.597
